"","Residential","NonResidential","Road","NonRoad","Agriculture","Total"
"EL006L1",49191.534745976,15497.9802975625,18380.3386914588,30.0445512533188,11715.2277055979,94815.1259918485
"EL007L1",65966.7205386162,36969.3067616448,32648.6508158594,13.1113288849592,19117.0332044233,154714.822649429
"EL008L1",16800.1891508102,3997.94477814436,7941.32053929567,107.728189257905,7979.7530490905,36826.9357065987
"EL009L1",20939.8252281249,3131.75028012693,8116.7289879173,891.168732252438,14625.4284802515,47704.901708673
"ES001L2",7372282.91680619,3432991.23128355,6496852.40499276,11445.4270949116,767272.912355644,18080844.8925331
"ES002L2",5365452.9427923,2386690.47871035,3953182.95133287,9203.64594668895,76356.2076888531,11790886.2264711
"ES003L2",1444503.51586771,997545.225246429,1433423.28567886,4000.99655373208,115404.88594085,3994877.90928758
"ES004L2",989250.677109003,626512.84918499,839209.914301917,1670.91267028078,901592.196571708,3358236.5498379
"ES005L2",222680.762337208,476645.240555525,389951.692390121,220.973312378861,411235.547847658,1500734.21644289
"ES006L2",326467.876101732,65873.6918010712,352198.167334199,2078.77714542858,143514.067359596,890132.579742027
"ES007L2",553037.805340767,298653.55700016,321245.24968493,62.4142708210275,158062.067607403,1331061.09390408
"ES008L2",141199.530527592,239334.360235214,215921.432690054,177.774027971551,228226.595692396,824859.693173228
"ES009L2",422263.87728399,69361.1185953617,121391.689953893,2267.66415406764,276773.70942986,892058.059417173
"ES010L2",154628.380923271,3706.00892066956,112512.603882194,81.2715938538313,70573.756582737,341502.021902725
"ES011L2",61301.8189351559,107268.492605209,200428.345079064,578.635699189035,140108.874490112,509686.166808731
"ES012L2",349002.087118268,178920.338517189,208250.492422998,114.500309579074,17478.3713410944,753765.789709128
"ES013L2",97867.9363440953,271554.045240402,104098.911676161,93.233597619459,125417.996863624,599032.123721902
"ES014L2",224716.041800469,94246.4141010046,145177.884248704,1092.98328475887,27924.1250381172,493157.448473054
"ES015L2",44863.7669081092,21891.6398525238,68163.0008459091,9.17717351019382,164151.90268302,299079.487463072
"ES016L2",88379.817635485,4897.15591812134,74268.4606729746,25.91192349419,304573.87999925,472145.226149325
"ES017L2",28670.9417579174,29674.1453886032,37195.6671954393,6.17565404623747,97172.5306694806,192719.460665487
"ES018L2",735088.497584146,399234.843912363,468451.700704988,1181.04285806278,10959.4966474418,1614915.581707
"ES019L2",272299.246432304,35517.3631124496,119647.589938723,84.6386376172304,480537.736318186,908086.57443928
"ES020L2",320210.048875809,201034.648794174,232922.493923187,615.701920568943,12241.2140005827,767024.107514322
"ES021L2",538060.369148389,112709.100158691,213403.138979882,918.034214237705,34748.3622528315,899839.004754031
"ES022L2",97453.7071783543,72680.9880867004,80272.2118299007,186.883433695883,10775.3710489571,261369.161577608
"ES023L2",262273.181183338,101477.297887802,100072.899912834,16.6749176960438,38174.2248027325,502014.278704403
"ES025L2",54019.73571527,51656.7691631317,59812.7536921501,13797.6812772155,19027.6304095387,198314.570257306
"ES026L2",52399.5559329987,1020.49369812012,19804.4185507298,6.63878535106778,32782.6710958481,106013.778063048
"ES028L1",17493.8711709976,20161.9394378662,13222.1944675446,53.1551630496979,2205.11012774706,53136.2703672051
"ES031L0",14259.3146716356,8032.66872400045,19247.5883177668,5.78396149189211,16758.3644628469,58303.7201377416
"ES033L0",32412.2414360046,1603.18647766113,16093.3909378052,29.7431938648224,1288.53787219524,51427.099917531
"ES034L0",107771.028709412,13312.368929863,50649.0296096802,4.09846311807632,11971.3515987098,183707.877310783
"ES035L0",11154.9302954674,37410.0112609863,5658.52253484726,75.3090086746961,17.3676583599299,54316.1407583356
"ES037L0",4271.48954439163,0,3748.08558940887,0.710031503345817,34343.2166371346,42363.5018024384
"ES039L0",10033.8596148491,53993.3781917095,6269.75394153595,10.8043241500854,17135.2743217945,87443.0703940392
"ES040L0",90872.9826579094,9973.7973690033,33126.5265350342,148.85724234581,510.001428961754,134632.165233254
"ES041L0",67654.0359382629,9432.06645989418,22637.2816848755,273.995955809951,2846.38001555204,102843.760054395
"ES043L0",21351.9388990402,2894.91439914703,12243.7850666046,31.6272366642952,5466.0062417984,41988.2718432546
"ES044L0",9887.41925954819,10386.3966522217,28753.8273821175,9.94511317298748,51524.5993320942,100562.187739155
"ES045L0",26648.9448318481,10163.579750061,16886.8334732056,12.2473572492599,2121.60714447498,55833.212556839
"ES046L0",31579.4925937653,2329.69417762756,14950.1525895447,34.3528098696843,58366.3013026714,107259.993473479
"ES048L0",2644.72185516357,1774.96794128418,1524.88748931885,29.310258820653,483.571947097778,6457.45949168503
"ES050L0",0,0,0,62.5060257911682,0,62.5060257911682
"ES053L0",14628.6730163544,8733.81479644775,6285.87021534704,2.07397007057443,2568.29940792173,32218.7314061415
"ES054L0",7295.59421443939,1279.56632232666,3845.36766016483,1.20203461870551,26233.4836838245,38655.2139153741
"ES055L0",4973.72737573087,7.01107251644135,3051.37483984232,4.88345680385828,43.7999051120132,8080.7966500055
"ES057L0",21855.7848587036,8828.44792175293,9352.78677749634,7.17381057888269,2030.5893843174,42074.7827528492
"ES059L0",384594.99466601,56410.4682035446,184302.835757934,92.5808653961867,143645.781263918,769046.660756802
"ES062L0",133595.204093933,22958.427778244,68759.4162496328,79.7004570364952,34563.0515272617,259955.800106108
"ES065L0",89798.344679741,110092.078533173,100449.842394353,2792.60999666154,38841.7814305127,341974.657034441
"ES070L0",97970.7918507457,75955.6248226166,88882.9148630798,74.6035127770156,299451.873218805,562335.808268024
"ES072L0",116457.365436606,52468.0236310959,66487.6004674379,18.9081708258309,5.21948712319136,235437.117193089
"ES073L0",53111.6414366961,123574.608963013,46747.8780087791,1058.44588880241,203.17265355587,224695.746950846
"ES074L0",40882.3309038877,89137.6126213074,53602.0690180436,98.4079747288488,316872.568629637,500592.989147605
"ES501L1",79326.6422454119,68471.7567749023,47528.1882441044,11.4436565339565,77437.2893701196,272775.320291072
"ES505L1",33918.5583863258,28700.9397854805,42250.0452010632,68.7810348710045,645053.120124578,749991.444532319
"ES506L1",119345.913596392,112494.513199329,108844.093598783,954.580494165421,38148.8336871266,379787.934575796
"ES508L1",61829.2432789803,96746.1077947617,51621.0094186068,3563.85446873214,79628.5215314478,293388.736492529
"ES510L1",59786.558467865,33525.9285933971,55280.4989800453,333.784515336156,25033.8451654315,173960.615722075
"ES514L1",114107.536232948,78967.9844553471,54425.7485207319,237.120283319615,133165.070458896,380903.459951243
"ES515L1",33118.7669689655,285355.16467762,47360.5825538635,9550.92289531976,12102.7406008244,387488.177696593
"ES516L1",35964.1174898148,15676.7722873688,26722.0166410208,6.83435440249741,280885.429054439,359255.169827046
"ES519L1",57921.6059174538,41167.1445674896,81399.4382565618,107.901168982033,242848.759419203,423444.84932969
"ES520L1",129532.88969326,32747.3877162933,59573.7995839119,37.9986385796219,27218.1401931643,249110.215825209
"ES521L1",39006.4146559313,21814.9168186188,22297.7783691809,683.147634744644,989.813686233014,84792.0711647086
"ES522L1",123892.321732044,699.253711223602,58843.6337890625,4.41754731535912,5672.64010559767,189112.266885243
"ES523L1",2524153.50796628,2687880.80520654,967556.627583008,1023.50338945678,23333.3494499016,6203947.79359518
"ES525L1",695315.280900162,1113102.63657188,261870.082774497,391.395683956333,9032.51130698074,2079711.90723748
"ES527L1",590193.727578968,1249906.95773458,210980.571757179,4781.61829112843,23556.321424529,2079419.19678639
"ES528L1",348403.464902395,966741.894703865,87544.0191388847,2647.28994310182,15219.3421499032,1420556.01083815
"ES529L1",332829.782896576,580739.131708622,91801.67126479,217.19764895807,20421.2185304854,1026009.00204943
"ES532L1",235432.175547499,280443.029635429,81274.467257956,200.444284100435,6508.90523991841,603859.021964903
"ES533L1",356131.015255745,393102.415415287,90193.9308818027,181.145764901114,6537.61220629269,846146.119524028
"FI001L2",50482698.6888018,3687877.75127697,11363412.4189578,56868.2172298897,441117.217279667,66031974.2935461
"FI002L2",6284362.71113586,1279692.67633259,1810955.58242488,4317.49582456984,103203.760139827,9482532.22585773
"FI003L2",3771720.04531097,603795.438257933,805168.192316115,1836.17618220672,300313.708750509,5482833.56081774
"FI004L2",984478.577486038,290166.79931581,385149.958351266,5107.14830125216,68983.1382609335,1733885.6217153
"FI007L1",2946840.47676313,669179.906320214,813173.518142417,5992.66979867965,56734.0498474896,4491920.62087193
"FI008L1",1955615.69309521,303746.19833827,561560.707705021,945.467288801447,147403.53868309,2969271.60511039
"FI009L1",4014097.18757522,750376.155837059,890814.74144268,1244.11852745712,60712.3813165128,5717244.58469893
"FR001L1",1045032.1790192,135292.870077223,460116.074719531,188.400368377566,26443.9788068756,1667073.5029912
"FR003L2",1052637.8171072,124413.991165519,209512.518794,147.020938303322,20373.4694150323,1407084.81742006
"FR004L2",542325.795376778,179789.54310894,131690.304244041,14048.8498938456,25914.4392255899,893768.931849195
"FR006L2",1153122.79474258,455996.373302341,421410.447890878,196.844949916005,206533.321200192,2237259.78208591
"FR007L2",295350.629835129,74779.7030405998,146180.632852793,248.026495117694,155562.90598464,672121.898208279
"FR008L2",738293.563469887,165864.32760334,338627.829550982,1038.01030212082,66019.0083177313,1309842.73924406
"FR009L2",567422.914722443,168741.274516106,248972.407928705,2380.98541088775,63691.0098408759,1051208.59241902
"FR010L2",318529.345853806,132976.216542959,168664.558636785,441.554557656869,141184.815255374,761796.49084658
"FR011L2",600896.288666964,183820.35993576,246802.533740222,976.235133186914,101459.979192287,1133955.39666842
"FR012L2",515266.200208902,194058.276209593,271126.034250379,1318.37698621117,102128.40053381,1083897.2881889
"FR013L2",418620.113431454,83318.9484328032,163629.083297491,370.874744225293,126329.590683162,792268.610589135
"FR014L2",867026.743986368,175508.62257123,330475.641789585,317.635497035459,76733.5526886876,1450062.19653291
