"SNAP2","SNAP34","SNAP5","SNAP6","SNAP71","SNAP72","SNAP73","SNAP8","SNAP10","SNAP1","Total","FUA"
0.000202175898223662,107178.131136667,0,0,1.93211706144677e-05,5.99328802216328e-05,0,6.35419780215061e-08,7.56942499479914e-05,142297.36328125,249475.494775104,"AL001L1"
7.80779224000133e-05,28563.1485021668,0,0,2.9394506013275e-06,9.11796329248777e-06,0,6.16333849733607e-08,5.40164683438698e-05,0,28563.1486463803,"AL003L1"
6.30211073537574e-05,2.77594971662132e-06,0,0,3.02024595548352e-06,9.34332854307867e-06,0,2.8473307316524e-08,5.1638504762646e-05,0,0.000129827609638903,"AL004L1"
6.70875381524397e-06,7616.83940906378,0,0,1.30762738971401e-06,4.05616561409064e-06,0,6.86764882336965e-08,2.01115976163406e-05,73704.9999237061,81321.8393650227,"AL005L0"
0.00610291372063091,2237037.72466225,80197.218833021,3.84510635381028e-05,0.000442164169902374,0.00141605151563137,2.03353276290297e-05,46245.4219014108,0.000234992596648561,13348538.9966965,15712019.3703481,"AT001L2"
0.00164237909453064,2722786.59107104,3.53214844795099e-06,4.91314543363882e-06,9.79009986520637e-05,0.000302438868493887,4.32352328891047e-06,2892.84563213142,2.30865553634285e-05,3908802.24609375,6634481.6848755,"AT002L2"
0.00109308852260054,9214711.9146095,2.08403440644362e-06,3.03771433297545e-06,0.000103886124088178,0.000361024945813582,5.25217583741364e-06,2199.0315979753,6.86952434824357e-05,125432.342529297,9342343.29037385,"AT003L2"
0.000461146052649731,742494.583166341,1.7230493732639e-06,3.44482846901064e-06,4.8561479197816e-05,0.000146004101139142,2.79526440300909e-06,4388.275624273,2.02092413484101e-06,1509214.47753906,2256097.33699537,"AT004L2"
7.88161873035016e-05,7.35085992076279e-07,5.47247308007422e-07,3.36470234317657e-07,2.19042060056708e-05,7.29126744390763e-05,1.18529723306814e-06,2336.07053794476,2.00093409775728e-07,0,2336.07071458202,"AT005L2"
0.000377593554446052,0.000184453419198316,1.6574700893355e-06,1.56244773364843e-06,2.62220544914151e-05,8.55004413358355e-05,1.20913152790086e-06,988.141061147679,1.17658757035447e-05,0,988.141751112074,"AT006L1"
0.000326057378847479,6.28628288755137e-05,0,0,1.42520898080942e-05,2.65083244948923e-05,0,3.67991659231675e-10,1.34299653572428e-05,16366.0717010498,16366.0721441608,"BA001L1"
0.000271683094269312,1.02840533155318e-05,0,0,8.0909287847829e-06,1.50488073819428e-05,0,1.84291564542199e-08,6.71174268641355e-05,160270.721435547,160270.72180779,"BA002L1"
5.63377920438082e-05,3.58326196150819e-05,0,0,4.12011456023395e-06,7.66325046944031e-06,0,2.34625954696226e-10,7.70820853685548e-06,0,0.000111662219851374,"BA003L1"
0.000225103443753013,51659.1301152626,0,0,4.87095594186373e-06,9.05978589810794e-06,0,4.84554392840855e-10,1.69744699754876e-05,3729664.73579407,3781323.86616534,"BA004L1"
5.09014819484715e-05,96860.870362232,0,0,2.7334543368883e-06,5.08411741486747e-06,0,5.07577474788325e-08,5.9119657026455e-06,2562545.18699646,2659406.05742337,"BA005L1"
0.0120708864513076,5271999.53570319,13259.9326372629,1.59812634791011e-05,0.000395366877806603,0.00214120987673989,2.66896547179935e-05,23975.5115702022,0.000161012849044989,6089618.0189111,11398853.0136329,"BE001L2"
0.00720088016576586,6804335.33593514,29876.248046791,8.92943675167364e-06,0.000236940842842791,0.00132598479159662,1.61423592095794e-05,277.837542598935,2.1069594431433e-05,6494758.58114823,13329248.0114827,"BE002L2"
0.00277674792526769,3096360.10433578,8895.10047437563,4.74669864537465e-06,8.39989521992865e-05,0.000629729384842709,7.38796187024586e-06,4.47995838065971e-05,4.75145278476909e-05,2809715.62430682,5914970.8327119,"BE003L2"
0.00211535286800306,1764286.71293604,3152.33752132331,2.42369864790774e-06,5.71671532593088e-05,0.000304712357413091,3.83829935597744e-06,2640.66315038218,3.6092107731013e-05,1476730.89176207,3246810.6078894,"BE004L2"
0.00282931182566185,2357040.72624128,4900.61861278176,3.9912730184724e-06,9.10095992299629e-05,0.00048745834834666,6.11984886296715e-06,274.492745182754,4.00321249855666e-05,2736837.04635059,5099052.88740775,"BE005L2"
0.000995076511737213,219285.034440358,5558.18748474772,1.50697545445129e-06,3.21032038543055e-05,0.000173099509457437,2.21926394083661e-06,2.7559557993546e-05,2.33549244515194e-05,1636687.17368972,1861530.39686974,"BE006L2"
0.00057462347921762,240529.25112399,649.174720049763,4.37905374220632e-07,2.90598584948114e-05,0.000169894685139726,2.01247950365447e-06,2.51466319040614e-07,3.35547839835416e-05,793133.399732178,1034311.82638605,"BE007L2"
